aqi_class,aqi_goodness,aqi_class_recode,aqi,pm10,pm2.5,o3,timestamp_local,so2,no2,timestamp_utc,datetime,co,ts,city
ok,1,3,63,24.77,18.01,26.31,2022-03-01T00:00:00,3.59,53.84,2022-03-01T05:00:00,2022-03-01:05,606.03,1646110800,New York
ok,1,3,61,18.39,17.16,26.15,2022-02-28T23:00:00,2.04,51.71,2022-03-01T04:00:00,2022-03-01:04,556.06,1646107200,New York
ok,1,3,59,12,9,26,2022-02-28T22:00:00,0.5,49.58,2022-03-01T03:00:00,2022-03-01:03,506.09,1646103600,New York
ok,1,3,57,12,9,31.54,2022-02-28T21:00:00,0.5,44.79,2022-03-01T02:00:00,2022-03-01:02,556.47,1646100000,New York
good,1,4,34,11,8.2,46,2022-02-28T20:00:00,0.25,33.33,2022-03-01T01:00:00,2022-03-01:01,467.16,1646096400,New York
good,1,4,40,10,9.6,54.46,2022-02-28T19:00:00,0.25,27.5,2022-03-01T00:00:00,2022-03-01:00,393.88,1646092800,New York
good,1,4,36,10,8.7,66.31,2022-02-28T18:00:00,0,19.79,2022-02-28T23:00:00,2022-02-28:23,341.21,1646089200,New York
good,1,4,35,9,8,75.69,2022-02-28T17:00:00,0,12.71,2022-02-28T22:00:00,2022-02-28:22,277.09,1646085600,New York
good,1,4,37,9,7,80.92,2022-02-28T16:00:00,0,8.96,2022-02-28T21:00:00,2022-02-28:21,247.32,1646082000,New York
good,1,4,38,9,6.3,83.23,2022-02-28T15:00:00,0,7.5,2022-02-28T20:00:00,2022-02-28:20,267.93,1646078400,New York
good,1,4,38,9,6.7,83.08,2022-02-28T14:00:00,0,7.08,2022-02-28T19:00:00,2022-02-28:19,245.03,1646074800,New York
good,1,4,38,9,6.4,82,2022-02-28T13:00:00,0,5.25,2022-02-28T18:00:00,2022-02-28:18,265.64,1646071200,New York
good,1,4,38,9,7,81.38,2022-02-28T12:00:00,0,5,2022-02-28T17:00:00,2022-02-28:17,274.8,1646067600,New York
